cathepsin Z proteolytic cleavage product	PR:000019580	cathepsin Z proteolytic cleavage product
cation channel sperm-associated protein 1 isoform 1 unmodified form	PR:000002581	CATSPER1/iso:1/UnMod
cation channel sperm-associated protein subunit beta isoform 1 unmodified form	PR:000002588	CATSPERB/iso:1/UnMod
cerebellin-1 proteolytic cleavage product	PR:000019244	CBLN1/ClvPrd
cholecystokinin proteolytic cleavage product	PR:000019255	CCK/ClvPrd
C-C motif chemokine 13 proteolytic cleavage product	PR:000018727	CCL13/ClvPrd
C-C motif chemokine 14 proteolytic cleavage product	PR:000018635	CCL14/ClvPrd
C-C motif chemokine 15 proteolytic cleavage product	PR:000018638	CCL15/ClvPrd
C-C motif chemokine 18 proteolytic cleavage product	PR:000018645	CCL18/ClvPrd
C-C motif chemokine 20 proteolytic cleavage product	PR:000018650	CCL20/ClvPrd
C-C motif chemokine 22 proteolytic cleavage product	PR:000018655	CCL22/ClvPrd
C-C motif chemokine 23 proteolytic cleavage product	PR:000018658	CCL23/ClvPrd
C-C motif chemokine 3 proteolytic cleavage product	PR:000018732	CCL3/ClvPrd
C-C motif chemokine 3-like 1 proteolytic cleavage product	PR:000019258	CCL3L/ClvPrd
C-C motif chemokine 4 proteolytic cleavage product	PR:000018735	CCL4/ClvPrd
C-C motif chemokine 5 proteolytic cleavage product	PR:000018718	CCL5/ClvPrd
C-C motif chemokine 6 proteolytic cleavage product	PR:000019627	Ccl6/ClvPrd
C-C motif chemokine 8 proteolytic cleavage product	PR:000018738	CCL8/ClvPrd
C-C motif chemokine 9 proteolytic cleavage product	PR:000019628	Ccl9/ClvPrd
C-C motif chemokine 3 proteolytic cleavage product	PR:000018732	C-C motif chemokine 3 proteolytic cleavage product
C-C motif chemokine 4 proteolytic cleavage product	PR:000018735	C-C motif chemokine 4 proteolytic cleavage product
C-C motif chemokine 5 proteolytic cleavage product	PR:000018718	C-C motif chemokine 5 proteolytic cleavage product
C-C motif chemokine 6 proteolytic cleavage product	PR:000019627	C-C motif chemokine 6 proteolytic cleavage product
C-C motif chemokine 8 proteolytic cleavage product	PR:000018738	C-C motif chemokine 8 proteolytic cleavage product
C-C motif chemokine 9 proteolytic cleavage product	PR:000019628	C-C motif chemokine 9 proteolytic cleavage product
CD14 molecule isoform 1 cleaved 1 soluble form	PR:000002146	CD14/iso:1/Clv:1/soluble
CD14 molecule isoform 1 cleaved and GPI-anchored form	PR:000002148	CD14/iso:1/ClvPrd/anchored
CD14 molecule isoform 1 cleaved and soluble form	PR:000036849	CD14/iso:1/ClvPrd/soluble
CD14 molecule isoform 1 cleaved 1 soluble form	PR:000002146	CD14 molecule isoform 1 cleaved 1
CD14 molecule isoform 1 cleaved 1 soluble form	PR:000002146	CD14 molecule isoform 1 cleaved 1 soluble form
CD14 molecule isoform 1 cleaved and soluble form	PR:000036849	CD14 molecule isoform 1 cleaved and soluble form
scavenger receptor cysteine-rich type 1 protein M130 proteolytic cleavage product	PR:000018594	CD163/ClvPrd
T-cell surface glycoprotein CD1e proteolytic cleavage product	PR:000018695	CD1E/ClvPrd
CD2 molecule proteolytic cleavage product	PR:000025455	CD2/ClvPrd
CD2 molecule proteolytic cleavage product	PR:000025455	CD2 molecule proteolytic cleavage product
tumor necrosis factor ligand superfamily member 5 proteolytic cleavage product	PR:000018606	CD40LG/ClvPrd
CD48 molecule proteolytic cleavage product	PR:000018381	CD48/ClvPrd
CD48 molecule proteolytic cleavage product	PR:000018381	CD48 molecule proteolytic cleavage product
complement decay-accelerating factor proteolytic cleavage product	PR:000018411	CD55/ClvPrd
CD59 glycoprotein proteolytic cleavage product	PR:000019275	CD59/ClvPrd
